Nombre: Gorka,  Media: 6.8, Aprobado: Si
Nombre: Ana,  Media: 5.4, Aprobado: Si
Nombre: Luis,  Media: 4.2, Aprobado: No
Nombre: Marta,  Media: 7.1, Aprobado: Si
Nombre: Carlos,  Media: 3.9, Aprobado: No
Nombre: Gorka,  Media: 6.8, Aprobado: Si
Nombre: Ana,  Media: 5.4, Aprobado: Si
Nombre: Luis,  Media: 4.2, Aprobado: No
Nombre: Marta,  Media: 7.1, Aprobado: Si
Nombre: Carlos,  Media: 3.9, Aprobado: No
Nombre: Gorka,  Media: 6.8, Aprobado: Si
Nombre: Ana,  Media: 5.4, Aprobado: Si
Nombre: Luis,  Media: 4.2, Aprobado: No
Nombre: Marta,  Media: 7.1, Aprobado: Si
Nombre: Carlos,  Media: 3.9, Aprobado: No
Nombre: Gorka,  Media: 6.8, Aprobado: Si
Nombre: Ana,  Media: 5.4, Aprobado: Si
Nombre: Luis,  Media: 4.2, Aprobado: No
Nombre: Marta,  Media: 7.1, Aprobado: Si
Nombre: Carlos,  Media: 3.9, Aprobado: No
Nombre: Gorka,  Media: 6.8, Aprobado: Si
Nombre: Ana,  Media: 5.4, Aprobado: Si
Nombre: Luis,  Media: 4.2, Aprobado: No
Nombre: Marta,  Media: 7.1, Aprobado: Si
Nombre: Carlos,  Media: 3.9, Aprobado: No
Nombre: Gorka,  Media: 6.8, Aprobado: Si
Nombre: Ana,  Media: 5.4, Aprobado: Si
Nombre: Luis,  Media: 4.2, Aprobado: No
Nombre: Marta,  Media: 7.1, Aprobado: Si
Nombre: Carlos,  Media: 3.9, Aprobado: No
